Name,Name (TR),Short,Description,Description (TR),Specs,Specs (TR),Meta Title,Meta Description,Pathname
Livi Smart Hub,Livi Smart Hub,lsh,"Livi Smart Hub is an essential element of the Livicom Smart Home. It combines Livi radio devices in a unified system, receives information from the sensors, and sends notifications to user's smartphones. Livi Smart Hub has a built-in diagnostics of communication channels state, power supply state, and the finance balance of the SIM-card.","Alarm ve Otomasyon sistemlerinin vazgeçilmez bir unsuru olan Livi Smart Hub, kablosuz cihazlarını tümleşik bir sistemde birleştirir, sensörlerden bilgi alır ve kullanıcının akıllı telefonlarına bildirimler gönderir. Livi Smart Hub, haberleşme kanalları durumunun, güç kaynağı durumunun ve SIM kartın finans dengesinin yerleşik bir teşhisine sahiptir.","Supports Ethernet, 2G, and 3G cellular standards <br/>
Connects with up to 256 Livi radio devices <br/>
Power supply: adaptor 5 V, 1 A <br/>
Power backup: Li-Ion battery 1000 mAh <br/>
Power backup time: 12 hours","Ethernet, 2G ve 3G hücresel standartlarını destekler. <br/>
256 adede kadar Livi radyo cihazına bağlanır <br/>
Güç kaynağı: adaptör 5 V, 1 A <br/>
Yedek güç: Li-Ion pil 1000 mAh <br/>
Yedek güç süresi: 12 saat",Livi Smart Hub / Livi Smart Hub 2G manual,The manual page of Livi Smart Hub / Livi Smart Hub 2G.,hubhelp
Livi Smart Hub 2G,Livi Smart Hub 2G,lsh2g,"Livi Smart Hub 2G is an essential element of the Livicom Smart Home. It combines Livi radio devices in a unified system, receives information from the sensors, and sends notifications to user's smartphones. Livi Smart Hub 2G has a built-in diagnostics of communication channels state, power supply state, and the finance balance of the SIM-card.","Alarm ve Otomasyon sistemlerinin vazgeçilmez bir unsuru olan Livi Smart Hub 2G kablosuz cihazlarını tümleşik bir sistemde birleştirir, sensörlerden bilgi alır ve kullanıcının akıllı telefonlarına bildirimler gönderir. Livi Smart Hub 2G, iletişim kanalları durumunun, güç kaynağı durumunun ve SIM kartın finans dengesinin yerleşik bir teşhisine sahiptir.","Supports Ethernet and 2G cellular standard <br/>
Connects with up to 64 Livi radio devices <br/>
Power supply: adaptor 5 V, 1 A <br/>
Power backup: Li-Ion battery 1000 mAh <br/>
Power backup time: 15 hours","Ethernet ve 2G hücresel standardı destekler <br/>
64 adede kadar Livi radyo cihazına bağlanır <br/>
Güç kaynağı: adaptör 5 V, 1 A <br/>
Yedek güç: Li-Ion pil 1000 mAh <br/>
Yedek güç süresi: 15 saat",Livi Smart Hub / Livi Smart Hub 2G manual,The manual page of Livi Smart Hub / Livi Smart Hub 2G.,hubhelp
Livi MS motion sensor,Livi MS Kablosuz Hareket Sensörü,lms,"A wireless passive infrared sensor detects intrusions into a guarded site. Сustomizable sensitivity to pets weighing up to 20 kg. Protected against false alarms caused by bright light and heatwaves. Battery discharge, connection loss, device tampering notifications.","Kablosuz pasif kızılötesi sensör, korunan bir sahaya izinsiz girişleri algılar. 20 kg'a kadar ağırlığındaki evcil hayvanlara karşı hassasiyet gösterir. Parlak ışık ve ısı dalgalarının neden olduğu yanlış alarmlara karşı korunur. Düşük pil, bağlantı kaybı, cihaz kurcalama bildirimleri.","Motion detection: up to 10 m <br/>
The angle of motion detection: up to 88,5 degrees <br/>
Operating frequency: 868.7 MHz <br/>
Operating range: up to 1 km from Livi Smart Hub <br/>
Operating temperature: from -20 to +55 °C <br/>
Power supply: battery type CR123A <br/>
Battery life: 10 years"," 
Hareket algılama: 10 m'ye kadar <br/>
Hareket algılama açısı: 88,5 dereceye kadar <br/>
Çalışma frekansı: 868,7 MHz <br/>
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar <br/>
Çalışma sıcaklığı: -20 ila +55 ° C <br/>
Güç kaynağı: pil tipi CR123A <br/>
Pil ömrü: 10 yıl",Livi MS motion sensor manual,The manual page of the Livi MS passive optoelectronic infrared motion sensor,mshelp
"Livi MSW <br/>
curtain motion sensor","Livi Kablosuz Perde Tipi Dedektör<br/>
",lmsw,"A wireless passive infrared curtain-type sensor forms a virtual wall and detects intrusions through doors and windows into a guarded site. Battery discharge, connection loss, device tampering notifications.","Kablosuz pasif kızılötesi perde tipi sensör, sanal bir duvar oluşturur ve kapılar ve pencerelerden korunan bir sahaya girme girişlerini algılar. Düşük pil, bağlantı kaybı, cihaz kurcalama bildirimleri.","Motion detection: up to 12 m
Motion detection bandwidth: up to 2,2 m
Operating frequency: 868.7 MHz
Operating range: up to 1 km from Livi Smart Hub
Operating temperature: from -20 to +55 °C
Power supply: battery type CR123А
Battery life: 10 years","Hareket algılama: 12 m'ye kadar
Hareket algılama bant genişliği: 2,2 m'ye kadar
Çalışma frekansı: 868.7 MHz
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar
Çalışma sıcaklığı: -20 ila +55 ° C arası
Güç kaynağı: pil tipi CR123А
Pil ömrü: 10 yıl",Livi MSW curtain type motion sensor manual,The manual page of Livi MSW passive optoelectronic infrared curtain type motion sensor,mswhelp
Livi FS smoke sensor,Livi FS Kablosuz Duman Dedektörü,fs,"A wireless smoke sensor uses the scattered light method and helps to detect a fire early. The sensor has a preliminary smoker warning mode. The self-testing system of the dust level will notify the user when the sensor needs to be cleaned. Protected against false alarms caused by bright light or insects. Battery discharge, connection loss, device tampering notifications.","Kablosuz duman dedektörü dağınık ışık yöntemini kullanır ve yangının erken tespit edilmesine yardımcı olur. Sensörün ön alarm uyarı modu vardır. Toz seviyesinin kendi kendini test eden sistemi, sensörün temizlenmesi gerektiğinde kullanıcıyı bilgilendirecektir. Parlak ışık veya böceklerin neden olduğu yanlış alarmlara karşı korunur. Düşük pil, bağlantı kaybı, cihaz kurcalama bildirimleri.","Operating frequency: 868.7 MHz
Operating range: up to 1 km from Livi Smart Hub
Operating temperature: from -20 to +55 °C
Main power supply: battery type CR123A
Backup power supply: battery type CR2032
Battery life: 10 years","Çalışma frekansı: 868.7 MHz
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar
Çalışma sıcaklığı: -20 ila +55 ° C arası
Ana güç kaynağı: pil tipi CR123A
Yedek güç kaynağı: pil tipi CR2032
Pil ömrü: 10 yıl",Livi FS smoke sensor manual,The Livi FS smoke sensor  is designed for early fire detection. The sensor operates according to the scattered light method.,fshelp
Livi CS opening sensor,Livi CS Kablosuz Manyetik Kontak,cs,"A wireless opening sensor detects an intrusion into a guarded site. The sensor controls the opening and closing of doors, windows, shutters, hatches or gates. Livi CS consists of a magnetically operated switch and a magnet. An external wired reed switch can be connected to the sensor. Battery discharge, connection loss, device tampering notifications.","Kablosuz manyetik kontak, korunan bir sahaya izinsiz giriş algılar. Sensör, kapıların, pencerelerin, panjurların, kapakların veya kapıların açılmasını ve kapanmasını kontrol eder. Livi CS manyetik olarak çalıştırılan bir anahtar ve bir mıknatıstan oluşur. Sensöre harici bir kablolu kontak anahtarı bağlanabilir. Düşük pil, bağlantı kaybı, cihaz kurcalama bildirimleri.","Operating frequency: 868.7 MHz <br/>
Operating range: up to 1 km from Livi Smart Hub <br/>
Operating temperature: from -20 to +55 °C <br/>
Power supply: battery type CR123A <br/>
Battery life: 10 years","Çalışma frekansı: 868.7 MHz <br/>
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar <br/>
Çalışma sıcaklığı: -20 ila +55 ° C arası <br/>
Güç kaynağı: pil tipi CR123A <br/>
Pil ömrü: 10 yıl",Livi CS opening sensor manual,The manual page of the Livi CS opening sensor,cshelp
Livi GS glass break sensor,Livi GS Kablosuz Cam Kırılma Dedektörü,gs,"A wireless acoustic glass break sensor detects the shattering of glass and glass structures. An electret microphone is used to capture the sound of glass breaking into a guarded site. An external wired reed switch can be connected to the sensor. Battery discharge, connection loss, device tampering notifications.","Kablosuz akustik cam kırılma sensörü, cam ve cam yapıların parçalanmasını algılar. Bir elektret mikrofonu, korunan bir sahaya giren camın sesini yakalamak için kullanılır. Sensöre harici bir kablolu kontak anahtarı bağlanabilir. Düşük pil, bağlantı kaybı, cihaz kurcalama bildirimleri.","Operating frequency: 868.7 MHz <br/>
Operating range: up to 1 km from Livi Smart Hub <br/>
Operating temperature: from -20 to +55 °C <br/>
Power supply: battery type CR123A <br/>
Battery life: 10 years","Çalışma frekansı: 868.7 MHz <br/>
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar <br/>
Çalışma sıcaklığı: -20 ila +55 ° C arası <br/>
Güç kaynağı: pil tipi CR123A <br/>
Pil ömrü: 10 yıl",Livi GS glass break sensor manual,The manual page of Livi GS acoustic glass break sensor,gshelp
Livi VS impact sensor,Livi VS Kablosuz Darbe Dedektörü,vs,"A wireless impact sensor with a high-precision accelerometer determines the displacement or impact on the guarded surface. The sensor can detect the signs of cutting, drilling, or breaking glass, metal, brick, and reinforced concrete structures. Battery discharge, connection loss, device tampering notifications.","Yüksek hassasiyetli ivmeölçere sahip kablosuz darbe sensörü, korunan yüzey üzerindeki yer değiştirmeyi veya darbeyi belirler. Sensör, cam, metal, tuğla ve betonarme yapıların kesme, delme veya kırılma belirtilerini algılayabilir. Düşük pil, bağlantı kaybı, cihaz kurcalama bildirimleri.","Operating frequency: 868.7 MHz <br/>
Operating range: up to 1 km from Livi Smart Hub <br/>
Operating temperature: from -20 to +55 °C <br/>
Power supply: battery type CR123A <br/>
Battery life: 10 years","Çalışma frekansı: 868.7 MHz <br/>
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar <br/>
Çalışma sıcaklığı: -20 ila +55 ° C arası <br/>
Güç kaynağı: pil tipi CR123A <br/>
Pil ömrü: 10 yıl",Livi VS impact sensor manual,The manual page of the Livi VS impact sensor,vshelp
Livi RFID security control panel,Livi RFID Kontrol Paneli,rfid,"Wireless security control panel identifies users reading ISO 15693 and ISO 14443А RFID-tags. The panel allows users to arm and disarm the security alarm without using the Livicom mobile app. Battery discharge, connection loss, device tampering notifications.","Kablosuz güvenlik kontrol paneli, ISO 15693 ve ISO 14443А RFID-etiketlerini okuyan kullanıcıları tanımlar. Panel, kullanıcıların Livicom mobil uygulamasını kullanmadan güvenlik alarmını kurmasına ve açmasına olanak tanır. Düşük pil, bağlantı kaybı, cihaz kurcalama bildirimleri.","Operating frequency: 868.7 MHz
Operating range: up to 1 km from Livi Smart Hub
Operating temperature: from -20 to +55 °C
Power supply: battery type CR123A
Battery life: 10 years","Çalışma frekansı: 868.7 MHz
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar
Çalışma sıcaklığı: -20 ila +55 ° C arası
Güç kaynağı: pil tipi CR123A
Pil ömrü: 10 yıl",Livi RFID security control panel manual,The manual page of the Livi RFID security control panel,rfidhelp
Livi Key Fob control panel,Livi Kumanda,kf,"A wireless portable control panel can arm and disarm the security alarm system, launch scripts, and send an alarm alert. The panel is designed as a key fob and has four programmable buttons.","Kumanda, güvenlik alarm sistemini kurup açabilir, komut dosyalarını başlatabilir ve bir alarm uyarısı gönderebilir. Panel anahtarlık olarak tasarlanmıştır ve dört adet programlanabilir düğmeye sahiptir.","Operating frequency: 868.7 MHz
Operating range: up to 1 km from Livi Smart Hub
Operating temperature: from -20 to +55 °C
Power supply: battery type CR2032
Battery life: over 10 years","Çalışma frekansı: 868.7 MHz
Çalışma aralığı: Livi Smart Hub'dan 1 km'ye kadar
Çalışma sıcaklığı: -20 ila +55 ° C arası
Güç kaynağı: pil tipi CR2032
Pil ömrü: 10 yıldan fazla",Livi Key Fob control panel manual,The manual page of  the Livi Key Fob control panel,kfhelp
