Page,Section,Index,ID,Header,Header (TR),Text,Text (TR),,
home,hero,i1,home-hero-i1,,,"Home security and comfort system <br/>
that meets your needs","İhtiyaçlarınızı karşılayan <br/> akıllı güvenlik ve konfor sistemleri
",,
home,hero,i2,home-hero-i2,,,"Easily automate and control <br/>
your home with your smartphone!",Mobil cihazlarınızla sisteminizi <br/> kolayca kontrol edip otomatikleştirin.,,
home,s1,i1,home-s1-i1,"Security alarm <br/>
and property protection","Akıllı Güvenlik alarmı
ve mülkiyet koruması",Livicom will immediately notify an owner of the appearance of unexpected visitors,"Livicom, izinsiz girişlerin ortaya çıktığını derhal sistem kullanıcısına bildirecektir.",,
home,s1,i2,home-s1-i2,"Fire and flood <br/>
protection","Yangın ve su baskınından
koruma",Quickly handle any emergency in the house and prevent devastating consequences,Evdeki herhangi bir acil durumu hızla halledin ve yıkıcı sonuçları önleyin,,
home,s1,i3,home-s1-i3,"Lighting and electrical <br/>
appliances control","Aydınlatma ve elektrikli
cihaz kontrolü","Livicom will make your life comfortable, optimize resources consumption, and save your money","Livicom Alarm ve Otomasyon Sistemi hayatınızı rahat ettirecek, kaynak tüketimini optimize edecek ve paranızı koruyacak",, 
home,s1,i4,home-s1-i4,"Heating and climate <br/>
control","İklimlendirme cihazlarının
kontrolü","Create device interaction scenarios, and easily control ventilation, air conditioning, and heating systems","Cihaz etkileşim senaryoları oluşturun ve havalandırma, klima ve ısıtma sistemlerini kolayca kontrol edin",,
home,s2,header,home-s2-header,Easily control your home with your smartphone,Sisteminizi akıllı telefonunuzla kolayca kontrol edin,The free Livicom app is available for Android and iOS,Ücretsiz Livicom uygulaması Android ve iOS için mevcuttur,,
home,s2,i1,home-s2-i1,Be Well Informed,Haberdar Olun,Receive instant notifications on your smartphone and keep track of events that occur at your home,Akıllı telefonunuza anında bildirimler alın ve sisteminizde meydana gelen olayları takip edin,,
home,s2,i2,home-s2-i2,Use Scenarios,Senaryoları Kullanın,Automate routines in your home: switch on the heat or lights remotely and configure their operation according to a schedule or event,Sisteminizdeki rutinleri otomatikleştirin: ısıyı veya ışıkları uzaktan açın ve çalışmalarını bir programa veya olaya göre yapılandırın,,
home,s2,i3,home-s2-i3,Control Your Security,Güvenliğinizi Kontrol Edin,Find out immediately about any intrusion attempt and protect the people and things that matter most,Herhangi bir izinsiz giriş teşebbüsünü hemen öğrenin ve en önemli kişileri ve şeyleri koruyun,,
home,s2,i4,home-s2-i4,"Trust, But Verify",Güven Ama Doğrula,You can open video from surveillance cameras at any time or view a recording made when an alert occurred,Güvenlik kameralarından videoyu istediğiniz zaman açabilir veya bir uyarı oluştuğunda yapılan bir kaydı görüntüleyebilirsiniz.,,
home,s2,i5,home-s2-i5,Connect Your Loved Ones,Sevdiklerinize Bağlanın,"Connect your family, friends, or neighbors to your home. They will receive an alert and come to help in a difficult situation","Ailenizi, arkadaşlarınızı veya komşularınızı sisteme dahil edin. Herhangi biri zor durumda ise haberiniz olsun ",,
home,s2,i6,home-s2-i6,Configure for Yourself,Kendiniz göre Yapılandırın,Display selected scenarios and information widgets on your home screen. Use a single button to send a command to your home.,Ana ekranınızda seçili senaryoları ve bilgi araçlarını görüntüleyin. Sisteminize bir komut göndermek için tek bir düğme kullanın.,,
home,s2,button,home-s2-button,Learn more about Livicom mobile app,Livicom Mobil'i İncele,,,,
home,s3,header,home-s3-header,Technologies that make a home smart,Bir mekanı akıllı yapan teknolojiler,"And also provide security, fault protection, and comfort","Ayrıca güvenlik, arıza koruması ve konfor sağlar",,
home,s3,i1,home-s3-i1,From Russia with Love,Rusya'dan sevgilerle,Livicom Smart Home is developed and created in Russia by one of the largest manufacturers of monitoring systems,"Livicom Smart Home, Rusya'da en büyük izleme sistemleri üreticilerinden biri tarafından oluşuruldu ve geliştirildi.",,
home,s3,i2,home-s3-i2,No wires and no drilling,Kablo ve delik yok,"Plug in Livi Smart Hub, easily configure and place your sensors, and start protecting your home",Livicom Alarm ve Otomasyon Sistemi montajcı firma tarafından kolaylıkla kurulabilir. Mekanınızın etrafına kablo çekmenize gerek yoktur.,,
home,s3,i3,home-s3-i3,Batteries last for 10 years, 10 Yıl Dayanıklı Güvenli Piller,"The system does not require any maintenance costs, and you won't need to change your batteries often",Sistem herhangi bir bakım maliyeti gerektirmez ve pillerinizi sık sık değiştirmeniz gerekmez,,
home,s3,i4,home-s3-i4,Security is our priority!,Güvenlik önceliğimizdir!,Reliable encryption methods and a crypto chip ensure the system's protection against intrusion and organized bot attacks usage,"Güvenilir şifreleme yöntemleri ve bir kripto çipi, sistemin izinsiz girişlere ve organize bot saldırılarına karşı korumasını sağlar",,
home,s3,i5,home-s3-i5,Unparalleled range,Eşsiz çekim seviyesi,Livi Smart Hub can be located up to 1 km from radio devices. Such range can cover even a large private residence with surrounding buildings,"Livi Smart Hub, kablosuz cihazlarına 1 km'ye kadar erişebilir. Bu menzil, çevredeki binalarla birlikte büyük bir özel konutu bile kapsayabilir",,
home,s3,i6,home-s3-i6,Twice Secured,İki Kez Güvenli,Livi Smart Hub uses two communication channels: Ethernet and GSM. Cellular and battery backup ensures that the system will work no matter what,"Livi Smart Hub içift yönlü iletişim kanalı kullanır: Ethernet ve GSM. Hücresel ve pil yedeklemesi, sistemin ne olursa olsun çalışmasını sağlar",,
home,s3,button,home-s3-button,Find out more about how it works,Nasıl çalıştığı hakkında daha fazla bilgi edinin,,,,
home,s4,header,home-s4-header,Smart Home can be simple,Akıllı Ev basit olabilir,"Use the power of professional-grade quality home security in an affordable, DIY package. Never worry about service appointments, long-term contracts or hidden fees.","Uygun fiyatlı, DIY paketinde profesyonel kalitede ev güvenliğinin gücünü kullanın. Servis randevuları, uzun vadeli sözleşmeler veya gizli ücretler konusunda asla endişelenmeyin.",,
home,s4,i1,home-s4-i1,Choose and buy your security sensors and automation units,Güvenlik sensörlerinizi ve otomasyon birimlerinizi seçin ve satın alın,"Livicom is a flexible, expandable, and complete DIY smart home solution. Your home can be tailored to fit your needs and will do things you never thought possible","Livicom esnek, genişletilebilir ve eksiksiz bir DIY alarm ve otomasyon çözümüdür. Mekanınızının ihtiyaçlarına uyacak şekilde tasarlanabilir ve asla mümkün olduğunu düşünmediğiniz şeyleri yapar.",,
home,s4,i2,home-s4-i2,Set up your Smart Home system in just a few minutes,Alarm ve Otomasyon Sisteminizi birkaç dakika içinde kurun,Download Livicom app that wil let you receive notifications and control your smart home from anywhere. Activate and install wireless devices,Bildirimler almanıza ve akıllı evinizi her yerden kontrol etmenize izin verecek Livicom uygulamasını indirin. Kablosuz cihazları etkinleştirin ve kurun,,
home,s4,i3,home-s4-i3,Connect and customize,Bağlanın ve özelleştirin,"Send a shared access invitation to your loved ones, create scripts, remotely control your home, and receive information about its status on your smartphone","Sevdiklerinize bir erişim daveti gönderin, komut dosyaları oluşturun, sisteminizi uzaktan kontrol edin ve akıllı telefonunuzdaki durumu hakkında bilgi alın",,
products,hero,header,products-hero-header,Radio sensors and control units,"Alarm ve Otomasyon Sistemi: Kablosuz Sensörler, Kontrol üniteleri, Duman ve Hareket Dedektörleri","Build a system that meets your needs
",İhtiyaçlarınızı karşılayan akıllı güvenlik sistemi oluşturun.,,
mobile,hero,header,mobile-hero-header,Livicom Mobile App,Livicom Mobil Uygulaması,"The Livicom mobile app lets you remotely control Smart Home devices, provide access to those you trust, and automate the operation of household equipment using scenarios and schedules.","Livicom mobil uygulaması, Alarm ve Otomasyon cihazlarını uzaktan kontrol etmenizi, güvendiğiniz kişilere erişim sağlamanızı ve senaryolar ve programları kullanarak ev ekipmanının çalışmasını otomatikleştirmenizi sağlar.",,
mobile,hero,i1,mobile-hero-i1,,,"The Livicom mobile app was awarded «Best Application for Telecom/IT/Internet Company» at the prestigious Tagline Awards, and it was also awarded «Gold Application» in the «Productivity, Services, Education» category.","Livicom mobil uygulaması prestijli Tagline Ödülleri'nde ""Telekom / BT / İnternet Şirketi için En İyi Uygulama"" ödülüne layık görüldü ve ayrıca ""Verimlilik, Hizmetler, Eğitim"" kategorisinde ""Altın Uygulama"" ödülüne layık görüldü.",,
mobile,s1,header,mobile-s1-header,Automation scenarios,Otomasyon senaryoları,"Teach Livicom how to perform routine activities, create comfort scenarios, and simplify your everyday life","Livicom'a rutin aktiviteleri nasıl gerçekleştireceğini, konforu arttırıcı senaryoları nasıl çalıştıracağını ve günlük hayatınızı nasıl kolaylaştıracağını öğretin",,
mobile,s1,i1,mobile-s1-i1,,,"Smart Home Livicom adapts to your way of life. It fits into your daily routine, knows your habits and daily rituals, and performs some homecare activities itself.","Smart Home Livicom, yaşam tarzınıza uyum sağlar. Günlük rutininize uyar, alışkanlıklarınızı ve günlük ritüellerinizi bilir ve bazı ev işi faaliyetlerini kendisi gerçekleştirir.",,
mobile,s1,i2,mobile-s1-i2,,,"Livicom scenarios are rules you establish for your Smart Home. You tell it if there will be a specific event or a particular action must be performed. Livicom strictly obeys these rules, and you will be master of your home!","Livicom senaryoları, Otomasyon Sisteminiz için oluşturduğunuz kurallardır. Belirli bir olay olup olmayacağını veya belirli bir eylemin gerçekleştirilmesi gerektiğini söylüyorsunuz. Livicom bu kurallara kesinlikle uyar ve sisteminizin efendisi olursunuz!",,
mobile,s2,header,mobile-s2-header,Livicom supports three types of scenarios:,Livicom üç tip senaryoyu destekler:,Livicom üç tip altın daire:,,,
